ArrayType,Size,Algorithm,TimeMicroseconds,Threshold
Random,500,MergeSort,134,0
Reversed,500,MergeSort,86,0
AlmostSorted,500,MergeSort,89,0
Random,500,HybridSort,65,5
Reversed,500,HybridSort,46,5
AlmostSorted,500,HybridSort,47,5
Random,500,HybridSort,55,10
Reversed,500,HybridSort,39,10
AlmostSorted,500,HybridSort,37,10
Random,500,HybridSort,44,20
Reversed,500,HybridSort,35,20
AlmostSorted,500,HybridSort,387,20
Random,500,HybridSort,48,30
Reversed,500,HybridSort,35,30
AlmostSorted,500,HybridSort,26,30
Random,500,HybridSort,40,50
Reversed,500,HybridSort,38,50
AlmostSorted,500,HybridSort,18,50
Random,600,MergeSort,132,0
Reversed,600,MergeSort,101,0
AlmostSorted,600,MergeSort,118,0
Random,600,HybridSort,86,5
Reversed,600,HybridSort,55,5
AlmostSorted,600,HybridSort,55,5
Random,600,HybridSort,75,10
Reversed,600,HybridSort,47,10
AlmostSorted,600,HybridSort,41,10
Random,600,HybridSort,56,20
Reversed,600,HybridSort,521,20
AlmostSorted,600,HybridSort,31,20
Random,600,HybridSort,58,30
Reversed,600,HybridSort,47,30
AlmostSorted,600,HybridSort,29,30
Random,600,HybridSort,54,50
Reversed,600,HybridSort,52,50
AlmostSorted,600,HybridSort,21,50
Random,700,MergeSort,161,0
Reversed,700,MergeSort,122,0
AlmostSorted,700,MergeSort,128,0
Random,700,HybridSort,121,5
Reversed,700,HybridSort,78,5
AlmostSorted,700,HybridSort,66,5
Random,700,HybridSort,86,10
Reversed,700,HybridSort,57,10
AlmostSorted,700,HybridSort,55,10
Random,700,HybridSort,74,20
Reversed,700,HybridSort,55,20
AlmostSorted,700,HybridSort,44,20
Random,700,HybridSort,65,30
Reversed,700,HybridSort,56,30
AlmostSorted,700,HybridSort,32,30
Random,700,HybridSort,61,50
Reversed,700,HybridSort,63,50
AlmostSorted,700,HybridSort,25,50
Random,800,MergeSort,182,0
Reversed,800,MergeSort,139,0
AlmostSorted,800,MergeSort,141,0
Random,800,HybridSort,113,5
Reversed,800,HybridSort,75,5
AlmostSorted,800,HybridSort,79,5
Random,800,HybridSort,96,10
Reversed,800,HybridSort,65,10
AlmostSorted,800,HybridSort,68,10
Random,800,HybridSort,86,20
Reversed,800,HybridSort,74,20
AlmostSorted,800,HybridSort,60,20
Random,800,HybridSort,99,30
Reversed,800,HybridSort,66,30
AlmostSorted,800,HybridSort,34,30
Random,800,HybridSort,76,50
Reversed,800,HybridSort,83,50
AlmostSorted,800,HybridSort,26,50
Random,900,MergeSort,210,0
Reversed,900,MergeSort,155,0
AlmostSorted,900,MergeSort,190,0
Random,900,HybridSort,129,5
Reversed,900,HybridSort,110,5
AlmostSorted,900,HybridSort,97,5
Random,900,HybridSort,105,10
Reversed,900,HybridSort,67,10
AlmostSorted,900,HybridSort,63,10
Random,900,HybridSort,90,20
Reversed,900,HybridSort,60,20
AlmostSorted,900,HybridSort,47,20
Random,900,HybridSort,80,30
Reversed,900,HybridSort,69,30
AlmostSorted,900,HybridSort,38,30
Random,900,HybridSort,80,50
Reversed,900,HybridSort,69,50
AlmostSorted,900,HybridSort,38,50
Random,1000,MergeSort,219,0
Reversed,1000,MergeSort,185,0
AlmostSorted,1000,MergeSort,167,0
Random,1000,HybridSort,130,5
Reversed,1000,HybridSort,98,5
AlmostSorted,1000,HybridSort,86,5
Random,1000,HybridSort,111,10
Reversed,1000,HybridSort,72,10
AlmostSorted,1000,HybridSort,65,10
Random,1000,HybridSort,93,20
Reversed,1000,HybridSort,68,20
AlmostSorted,1000,HybridSort,49,20
Random,1000,HybridSort,92,30
Reversed,1000,HybridSort,71,30
AlmostSorted,1000,HybridSort,51,30
Random,1000,HybridSort,89,50
Reversed,1000,HybridSort,80,50
AlmostSorted,1000,HybridSort,38,50
Random,1100,MergeSort,245,0
Reversed,1100,MergeSort,181,0
AlmostSorted,1100,MergeSort,189,0
Random,1100,HybridSort,153,5
Reversed,1100,HybridSort,98,5
AlmostSorted,1100,HybridSort,95,5
Random,1100,HybridSort,133,10
Reversed,1100,HybridSort,78,10
AlmostSorted,1100,HybridSort,74,10
Random,1100,HybridSort,108,20
Reversed,1100,HybridSort,80,20
AlmostSorted,1100,HybridSort,58,20
Random,1100,HybridSort,107,30
Reversed,1100,HybridSort,80,30
AlmostSorted,1100,HybridSort,57,30
Random,1100,HybridSort,103,50
Reversed,1100,HybridSort,87,50
AlmostSorted,1100,HybridSort,45,50
Random,1200,MergeSort,265,0
Reversed,1200,MergeSort,203,0
AlmostSorted,1200,MergeSort,213,0
Random,1200,HybridSort,234,5
Reversed,1200,HybridSort,127,5
AlmostSorted,1200,HybridSort,117,5
Random,1200,HybridSort,139,10
Reversed,1200,HybridSort,97,10
AlmostSorted,1200,HybridSort,74,10
Random,1200,HybridSort,119,20
Reversed,1200,HybridSort,93,20
AlmostSorted,1200,HybridSort,59,20
Random,1200,HybridSort,118,30
Reversed,1200,HybridSort,136,30
AlmostSorted,1200,HybridSort,58,30
Random,1200,HybridSort,113,50
Reversed,1200,HybridSort,102,50
AlmostSorted,1200,HybridSort,45,50
Random,1300,MergeSort,315,0
Reversed,1300,MergeSort,247,0
AlmostSorted,1300,MergeSort,243,0
Random,1300,HybridSort,179,5
Reversed,1300,HybridSort,113,5
AlmostSorted,1300,HybridSort,113,5
Random,1300,HybridSort,154,10
Reversed,1300,HybridSort,102,10
AlmostSorted,1300,HybridSort,86,10
Random,1300,HybridSort,133,20
Reversed,1300,HybridSort,92,20
AlmostSorted,1300,HybridSort,67,20
Random,1300,HybridSort,117,30
Reversed,1300,HybridSort,92,30
AlmostSorted,1300,HybridSort,60,30
Random,1300,HybridSort,122,50
Reversed,1300,HybridSort,115,50
AlmostSorted,1300,HybridSort,46,50
Random,1400,MergeSort,317,0
